N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
179,KODEX MSCI Korea TR,"11,240",85,-0.75%,0,"11,442","101,800",18.27,"415,500",N/A,N/A,
180,코오롱인더,"41,650","1,200",+2.97%,"5,000","11,237","26,979",14.99,"378,729",7.46,1.58,
181,신세계인터내셔날,"156,500",500,-0.32%,"5,000","11,174","7,140",4.92,"27,024",24.78,12.98,
182,JB금융지주,"5,610",70,-1.23%,"5,000","11,051","196,983",39.23,"377,044",3.39,10.36,
183,금호타이어,"3,810",70,-1.80%,"5,000","10,945","287,260",4.21,"204,410",-10.92,-3.30,
184,더블유게임즈,"58,800",0,0.00%,500,"10,804","18,375",16.08,"55,476",10.08,18.93,
185,한국콜마,"45,200",100,-0.22%,500,"10,342","22,881",25.52,"115,763",32.52,6.39,
186,휴켐스,"24,500",100,-0.41%,"1,000","10,015","40,879",8.87,"105,740",20.78,10.82,
187,보령제약,"20,900",250,+1.21%,500,"9,953","47,620",8.38,"1,926,870",34.26,11.96,
188,KBSTAR 200,"35,075",175,-0.50%,0,"9,944","28,350",0.13,"139,053",N/A,N/A,
189,SK가스,"107,500","1,000",-0.92%,"5,000","9,923","9,230",8.84,"9,702",2.52,9.85,
190,다우기술,"21,850",100,+0.46%,500,"9,803","44,867",22.67,"120,969",3.51,14.62,
191,KODEX 인버스,"4,830",35,+0.73%,0,"9,766","202,200",0.98,"20,279,343",N/A,N/A,
192,코스맥스,"96,000","2,200",-2.24%,500,"9,648","10,050",25.94,"103,983",23.76,10.45,
193,GKL,"15,350",50,+0.33%,500,"9,495","61,856",6.09,"214,543",-71.40,12.62,
194,KODEX 단기채권PLUS,"102,805",5,0.00%,0,"9,449","9,191",0.00,"568,694",N/A,N/A,
195,코리안리,"7,820",90,+1.16%,500,"9,413","120,369",27.72,"364,034",5.59,8.04,
196,영풍,"510,000","4,000",-0.78%,"5,000","9,394","1,842",4.75,"1,096",5.07,7.40,
197,롯데리츠,"5,390",10,-0.19%,500,"9,269","171,969",8.83,"172,589",59.89,1.80,
198,두산,"55,000",400,+0.73%,"5,000","9,088","16,524",6.25,"82,287",11.21,23.52,
199,태광산업,"814,000","15,000",-1.81%,"5,000","9,063","1,113",8.98,563,8.74,4.34,
200,롯데칠성,"98,900",500,+0.51%,500,"8,876","8,975",12.22,"19,750",-10.14,-11.68,
